0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27
 Is that a great one? I have never seen it. I have seen [ITEM]| Hi I am looking for a movie like [ITEM] You should watch [ITEM]||||||||||||||||||||||||||
 It sounds like I need to check them out| Hi I am looking for a movie like [ITEM] You should watch [ITEM]| Is that a great one? I have never seen it. I have seen [ITEM]| I mean [ITEM] Yes [ITEM] is very funny and so is [ITEM]||||||||||||||||||||||||
 I appreciate your time. I will need to check those out. Are there any others you would recommend?| Hi I am looking for a movie like [ITEM] You should watch [ITEM]| Is that a great one? I have never seen it. I have seen [ITEM]| I mean [ITEM] Yes [ITEM] is very funny and so is [ITEM]| It sounds like I need to check them out| yes you will enjoy them||||||||||||||||||||||
 Thank you i will watch that too| Hi I am looking for a movie like [ITEM] You should watch [ITEM]| Is that a great one? I have never seen it. I have seen [ITEM]| I mean [ITEM] Yes [ITEM] is very funny and so is [ITEM]| It sounds like I need to check them out| yes you will enjoy them| I appreciate your time. I will need to check those out. Are there any others you would recommend?| yes [ITEM]||||||||||||||||||||
 Thanks for the suggestions.| Hi I am looking for a movie like [ITEM] You should watch [ITEM]| Is that a great one? I have never seen it. I have seen [ITEM]| I mean [ITEM] Yes [ITEM] is very funny and so is [ITEM]| It sounds like I need to check them out| yes you will enjoy them| I appreciate your time. I will need to check those out. Are there any others you would recommend?| yes [ITEM]| Thank you i will watch that too| and also [ITEM]||||||||||||||||||
 and also [ITEM] thanks goodbye| Hi I am looking for a movie like [ITEM] You should watch [ITEM]| Is that a great one? I have never seen it. I have seen [ITEM]| I mean [ITEM] Yes [ITEM] is very funny and so is [ITEM]| It sounds like I need to check them out| yes you will enjoy them| I appreciate your time. I will need to check those out. Are there any others you would recommend?| yes [ITEM]| Thank you i will watch that too| and also [ITEM]| Thanks for the suggestions.| you are welcome||||||||||||||||
 I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Hello! Hello!| What kind of movies do you like?|||||||||||||||||||||||||
 I recently watched [ITEM] I also enjoyed watching [ITEM]| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?|||||||||||||||||||||||
 I do enjoy some of the newer horror movies that I have seen as well.| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?| I recently watched [ITEM] I also enjoyed watching [ITEM]| It was really good for a new &quot;scary movie&quot;|||||||||||||||||||||
 I really liked the movie [ITEM]| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?| I recently watched [ITEM] I also enjoyed watching [ITEM]| It was really good for a new &quot;scary movie&quot;| I do enjoy some of the newer horror movies that I have seen as well.| I heard that [ITEM] is good. It is still in theaters though.|||||||||||||||||||
 It was really creepy, but I thought it was good! Or [ITEM] I saw while in theaters, this was a very good movie. It had me on the edge of my seat for the whole show.| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?| I recently watched [ITEM] I also enjoyed watching [ITEM]| It was really good for a new &quot;scary movie&quot;| I do enjoy some of the newer horror movies that I have seen as well.| I heard that [ITEM] is good. It is still in theaters though.| I really liked the movie [ITEM]| Me, too!|||||||||||||||||
 Are there any comedies that you would suggest?| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?| I recently watched [ITEM] I also enjoyed watching [ITEM]| It was really good for a new &quot;scary movie&quot;| I do enjoy some of the newer horror movies that I have seen as well.| I heard that [ITEM] is good. It is still in theaters though.| I really liked the movie [ITEM]| Me, too!| It was really creepy, but I thought it was good! Or [ITEM] I saw while in theaters, this was a very good movie. It had me on the edge of my seat for the whole show.| I'm not sure if I saw that one, I'll have to check into it. Sounds familiar, but not sure. Thank you for your suggestions!|||||||||||||||
 Wonderful! Thank you so much I think I am ready for movie night now.| Hello! Hello!| What kind of movies do you like?| I am looking for a movie recommendation. When I was younger I really enjoyed the [ITEM]| Oh, you like scary movies?| I recently watched [ITEM] I also enjoyed watching [ITEM]| It was really good for a new &quot;scary movie&quot;| I do enjoy some of the newer horror movies that I have seen as well.| I heard that [ITEM] is good. It is still in theaters though.| I really liked the movie [ITEM]| Me, too!| It was really creepy, but I thought it was good! Or [ITEM] I saw while in theaters, this was a very good movie. It had me on the edge of my seat for the whole show.| I'm not sure if I saw that one, I'll have to check into it. Sounds familiar, but not sure. Thank you for your suggestions!| Are there any comedies that you would suggest?| Sure! I like comedies a lot. I like movies like [ITEM] and [ITEM] , but I also like [ITEM] and [ITEM] .|||||||||||||
 Or [ITEM] ? i really liked it No , I think I would like to watch [ITEM]| Tell me what would you like to watch? [ITEM]| Did you watch [ITEM] ?|||||||||||||||||||||||||
 You should tell me what kind of movies you like Did you watch [ITEM] ? Do you like scary movies? Did you watch [ITEM] ? Yes I like Adam sandler. [ITEM] is another good movie by him| Tell me what would you like to watch? [ITEM]| Did you watch [ITEM] ?| Or [ITEM] ? i really liked it No , I think I would like to watch [ITEM]| It's funny But You already know what you want to watch|||||||||||||||||||||||
 i really enjoyed that one| i would like to watch any movie Tell me any movie Like [ITEM] Have you seen [ITEM]||||||||||||||||||||||||||
 Have you seen [ITEM] i watched [ITEM] and a liked it| i would like to watch any movie Tell me any movie Like [ITEM] Have you seen [ITEM]| i really enjoyed that one| Yes and i liked it Which another one would you recommend me? Do you like scary||||||||||||||||||||||||
 No, i have not seen [ITEM]| i would like to watch any movie Tell me any movie Like [ITEM] Have you seen [ITEM]| i really enjoyed that one| Yes and i liked it Which another one would you recommend me? Do you like scary| Have you seen [ITEM] i watched [ITEM] and a liked it| Or [ITEM]||||||||||||||||||||||
 i also watched [ITEM]| What kind of movies do you like have you seen [ITEM] ? or [ITEM] Yes and i liked them| Those are awesome I like that kind of movies [ITEM]|||||||||||||||||||||||||
 No, i have not watched that one| What kind of movies do you like have you seen [ITEM] ? or [ITEM] Yes and i liked them| Those are awesome I like that kind of movies [ITEM]| i also watched [ITEM]| those are good movies as well|||||||||||||||||||||||
 okay thanks! Oooh, so there are many| What kind of movies do you like have you seen [ITEM] ? or [ITEM] Yes and i liked them| Those are awesome I like that kind of movies [ITEM]| i also watched [ITEM]| those are good movies as well| No, i have not watched that one| i think i will try that one [ITEM] was another good xmen movie|||||||||||||||||||||
 i did not but i want to| Tell me what kind of movies do you like? I like scary movies| did you watch [ITEM]|||||||||||||||||||||||||
 have you seen [ITEM]| Tell me what kind of movies do you like? I like scary movies| did you watch [ITEM]| i did not but i want to| So, did you watch [ITEM] ?|||||||||||||||||||||||
 no but i like the old one| Tell me what kind of movies do you like? I like scary movies| did you watch [ITEM]| i did not but i want to| So, did you watch [ITEM] ?| have you seen [ITEM]| And [ITEM] ?|||||||||||||||||||||
 yes i like that version| Tell me what kind of movies do you like? I like scary movies| did you watch [ITEM]| i did not but i want to| So, did you watch [ITEM] ?| have you seen [ITEM]| And [ITEM] ?| no but i like the old one| yes i like that versio Yes i have, that's why i told you|||||||||||||||||||
 That is very scary It is very scary| Tell me what kind of movies do you like? I like scary movies| did you watch [ITEM]| i did not but i want to| So, did you watch [ITEM] ?| have you seen [ITEM]| And [ITEM] ?| no but i like the old one| yes i like that versio Yes i have, that's why i told you| yes i like that version| and did you watch [ITEM] ?|||||||||||||||||
 Did you watch [ITEM] ? And [ITEM] ? I have seen the old one| I like to watch scary movies tell me what kind of movie do you like?||||||||||||||||||||||||||
 i have not seen the new one| I like to watch scary movies tell me what kind of movie do you like?| Did you watch [ITEM] ? And [ITEM] ? I have seen the old one| Did you watch [ITEM] ?||||||||||||||||||||||||
 Even though i would rather the old one And did you watch [ITEM] ? i hope i have helped no I have not but it sounds scary!| I like to watch scary movies tell me what kind of movie do you like?| Did you watch [ITEM] ? And [ITEM] ? I have seen the old one| Did you watch [ITEM] ?| i have not seen the new one| i do like the excorcist Ok, you should watch the new one||||||||||||||||||||||
 your welcome good bye bye!| I like to watch scary movies tell me what kind of movie do you like?| Did you watch [ITEM] ? And [ITEM] ? I have seen the old one| Did you watch [ITEM] ?| i have not seen the new one| i do like the excorcist Ok, you should watch the new one| Even though i would rather the old one And did you watch [ITEM] ? i hope i have helped no I have not but it sounds scary!| thank you for the suggestions! You should try them||||||||||||||||||||
 yes, i love adam sandler| Tell me what kind of movies do you like? I love to watch funny movies| Did you watch [ITEM] ?|||||||||||||||||||||||||
